Long Name | Short Name | Brand | Type | Core | Cover | Color | Surface | Year | Serial # | Weight | Mapping
Columbia Blue Dot | BD | Columbia 300 | Plastic | Pancake | Silver | Pearl | ? | 1992 | 2B21969 | 15 | ?
Envy Tour Pearl Hammer | ETP | Hammer | Reactive | Assymetric | Pearl | Silver | ? | 2024 | LRF2084D | 15 | ?
NU Blue Hammer | NUB | Hammer | Not Urethane | Synmmetric | Solid | Blue | ? | 2024 | MR721071 | 15 | ?
Purple Pearl Reactive Hammer | PPR | Hammer | Reactive | Symmetric | Pearl | Purple | ? | ? | ? | 15 | ?
Red Pearl Hammer | RPH | Hammer | Urethane | Symmetric | Pearl | Red | ? | 1991 | 1B027818 | 15 | ?
Scorpion Low-Flare Hammer | SLF | Hammer | Reactive | Symmetric | Solid | Orange/Black | ? | ? | ? | 15 | ?
Storm IQ Tour 78/U | IQTU | Storm | Urethane | Symmetric | Solid | Red | ? | 2024 | 23VLLK101034 | 15 | ?
