LEAVE|||||||||24610|2610|10||10|10|||||||4|4|4||248|4|||||7|
SCORE|||||||||7||26||35||65||94||113||122||139||148||177|||||
TYPE|||||||||split-1|split-2||||||||||||||||||||||
BOARD|||||||||light||pocket||pocket|left|pocket||pocket||pocket||h-pocket|left|h-pocket||light|right|pocket||pocket||pocket|
LANE|||||||||23||24||23||24||23||24||23||24||23||24||24||24|
BALL|||||||||NUB|NUB|NUB|NUB|NUB|NUB|NUB||NUB||NUB||NUB|NUB|NUB|NUB|NUB|NUB|NUB||NUB||NUB|
COUNT|Sr-Singles|Fa-24|4|9/23/24|1|24|NUB/BD|BD|X||8|-|8|/|X||X||X||6|3|8|/|9|/|9|/|X|||
LEAVE|||||||||||47|47|36||||||||12810|10|28||10||4|||||
SCORE|||||||||18||26||46||76||102||121||130||149||168||188|||||
TYPE||||||||||||||||||||||||||||||||
BOARD|||||||||pocket||h-pocket|right|high||pocket||pocket||brooklyn||right|right|light||pocket||h-pocket||light|||
LANE|||||||||24||23||24||23||24||23||24||23||24||23||23|||
BALL|||||||||NUB||NUB|NUB|NUB|BD|NUB||NUB||NUB||NUB|BD|NUB|BD|NUB|BD|BD|BD|BD|||
COUNT|Sr-Singles|Fa-24|4|9/23/24|2|23|BD/NUB|BD|X||6|/|6|/|7|2|7|2|X||8|/|8|/|X||X||X||9|
LEAVE|||||||||||36710||1248||127||467||||47||36||||||||10|
SCORE|||||||||20||36||53||62||71||91||109||129||159||188|||||
TYPE|||||||||||m-split-1|m-split-2||||||||||||||||||||
BOARD|||||||||pocket||high||right||right|right|nose||pocket||h-pocket||high||pocket||pocket||pocket||pocket|
LANE|||||||||23||24||23||24||23||24||23||24||23||24||24||24|
BALL|||||||||BD||BD|BD|BD|BD|BD|BD|BD|BD|NUB||NUB|BD|NUB|BD|NUB||NUB||NUB||NUB|
COUNT|Sr-Singles|Fa-24|4|9/23/24|3|24|NUB|BD|X||8|/|9|/|X||9|/|9|/|X||9|/|9|/|X||9|/||
LEAVE|||||||||||610||3||||6||10||||6||10||||10|||
SCORE|||||||||20||39||59||79||98||118||138||157||177||197|||||
TYPE||||||||||||||||||||||||||||||||
BOARD|||||||||pocket||high||high||pocket||high||pocket||pocket||high||pocket||pocket||pocket|||
LANE|||||||||24||23||24||23||24||23||24||23||24||23||23|||
BALL|||||||||NUB||NUB|BD|NUB|BD|NUB||NUB|BD|NUB|BD|NUB||NUB|BD|NUB|BD|NUB||NUB|BD||
COUNT|Sr-Singles|Fa-24|5|9/30/24|1|26|NUB/RPH|RPH/BD|X||8|1|7|2|X||X||X||6|2|9|/|9|/|6|/|X|||
LEAVE|||||||||||49|9|369|3|||||||1248|12|2||7||2458|||||
SCORE|||||||||19||28||37||67||93||111||119||138||154||174|||||
TYPE|||||||||||split-1|split-2||||||||||||||||||||
BOARD|||||||||pocket||pocket||high|right|pocket||pocket||pocket||light|right|light||pocket||light||brooklyn|||
LANE|||||||||26||25||26||25||26||25||26||25||26||25||25|||
