NS Turtle Top | Loose Ring | Medium | Dressage | Smooth steady curve | Not much movement | ?
NS Turtle Top | Loose Ring | Large | Dressage | Smooth steady curve | Not much movement | ?
NS Turtle Tactio | Loose Ring | Medium | Dressage | Narrow bars | More pressure on center of tongue | ?
NS Turtle Tactio | Loose Ring | Large | Dressage | Narrow bars | More pressure on center of tongue | ?
NS Verbinden | Loose Ring | Medium | Dressage | Lifting of shoulders | Tongue evasions | ? 
NS Verbinden | Loose Ring | Large | Dressage | Lifting of shoulders | Tongue evasions | ? 
NS Turtle Top | Egg Butt | Medium | Dressage | Smooth steady curve | Not much movement | Steady and lateral control with egg butt
NS Turtle Top | Egg Butt | Large | Dressage | Smooth steady curve | Not much movement | Steady and lateral control with egg butt
NS Turtle Tactio | Balding Gag | Medium | Jumping | Narrow bars | Extra control | 30% more force with gag 
NS Turtle Tactio | Balding Gag | Large | Jumping | Narrow bars | Extra control | 30% more force with gag 
